"priority","area","file","line","key","current_ja","issue","suggested_direction","translate_or_keep","user_instruction"
"P1","Policies","packages/ar-admin-ui/src/i18n/ja/admin-policies.ts","85","admin_policies_decided_by_label","Decided by:","英語UIのまま","判定元:。","translate",""
"P1","Policies","packages/ar-admin-ui/src/i18n/ja/admin-policies.ts","126","admin_policies_type_request_count_lt","Request countが未満","英日混在","リクエスト数が未満。","translate",""
"P1","Policies","packages/ar-admin-ui/src/i18n/ja/admin-policies.ts","155","admin_policies_param_role","Role","英語UIのまま","ロール。","translate",""
"P1","Policies","packages/ar-admin-ui/src/i18n/ja/admin-policies.ts","158","admin_policies_param_attribute","Attribute","英語UIのまま","属性。","translate",""
"P1","Policies","packages/ar-admin-ui/src/i18n/ja/admin-policies.ts","161","admin_policies_param_start_hour","Start hour","英語UIのまま","開始時刻。","translate",""
"P1","Policies","packages/ar-admin-ui/src/i18n/ja/admin-policies.ts","166","admin_policies_param_countries","Countries","英語UIのまま","国。","translate",""
"P1","Scale","packages/ar-admin-ui/src/i18n/ja/admin-scale.ts","8","admin_scale_shards_unit_title","{count} Shards","英語UI寄り","{count} shards のままでも可。UIなら {count} シャード。","decide",""
"P1","Scale","packages/ar-admin-ui/src/i18n/ja/admin-scale.ts","9","admin_scale_login_per_sec","(~{count} Login/sec)","英語UI寄り","(~{count} ログイン/秒) または LPSとして残す。","decide",""
"P1","Scale","packages/ar-admin-ui/src/i18n/ja/admin-scale.ts","19","admin_scale_request_routing_ratio","request routing ratio","英語UIのまま","リクエストルーティング比率。","translate",""
"P1","Scale","packages/ar-admin-ui/src/i18n/ja/admin-scale.ts","20","admin_scale_slider_note","Note: 1つのsliderを調整すると、他の値は自動で再配分されます。","英日混在","注: 1つのスライダーを調整すると、他の値は自動で再配分されます。","translate",""
"P1","Scale","packages/ar-admin-ui/src/i18n/ja/admin-scale.ts","25","admin_scale_client_based_coefficient","Client-based coefficient","英語UIのまま","クライアントベース係数。","translate",""
"P1","Scale","packages/ar-admin-ui/src/i18n/ja/admin-scale.ts","49","admin_scale_map_traffic_flow","Traffic Flow","英語UIのまま","トラフィックフロー。","translate",""
"P1","Identity Mapping","packages/ar-admin-ui/src/i18n/ja/admin-identity-mapping.ts","7","admin_identity_mapping_description","グラフを変更せずに、source profile、正規化されたIDターゲット、destination projectionを確認します。","英日混在","Source/Destinationを残す方針なら許容。そうでなければソースプロファイル/宛先プロジェクションに統一。","decide",""
"P1","Identity Mapping","packages/ar-admin-ui/src/i18n/ja/admin-identity-mapping.ts","33","admin_identity_mapping_editor_description","登録済みsource profileとdestination profileに対して、source mappingとdestination release projectionを編集します。","英日混在","用語表に従って統一。","decide",""
"P1","Identity Mapping","packages/ar-admin-ui/src/i18n/ja/admin-identity-mapping.ts","38","admin_identity_mapping_editor_profile_selector_aria","マッピング編集プロファイルセレクター","やや不自然","マッピング編集用プロファイルセレクター。","translate",""
"P1","Identity Mapping","packages/ar-admin-ui/src/i18n/ja/admin-identity-mapping.ts","57","admin_identity_mapping_editor_side_not_selected","side未選択","英日混在","サイド未選択 または 側未選択。","translate",""
"P1","Identity Mapping","packages/ar-admin-ui/src/i18n/ja/admin-identity-mapping.ts","60","admin_identity_mapping_editor_loading_control_plane","control planeを読み込み中","英日混在","コントロールプレーンを読み込み中。","translate",""
"P1","Identity Mapping","packages/ar-admin-ui/src/i18n/ja/admin-identity-mapping.ts","74","admin_identity_mapping_editor_no_active_catalog","このポリシーを準備するためのactive catalog versionがありません","英日混在","このポリシーを準備するための有効なカタログバージョンがありません。","translate",""
"P1","Identity Mapping","packages/ar-admin-ui/src/i18n/ja/admin-identity-mapping.ts","93","admin_identity_mapping_editor_created_description","Admin UI Flow Editorから作成された下書きポリシーセットです。","Flow保留/英日混在","Flow保留なら現状維持可。","keep",""
"P1","Identity Mapping","packages/ar-admin-ui/src/i18n/ja/admin-identity-mapping.ts","99","admin_identity_mapping_profiles_description","CSVファイルまたは手動のカラム定義からsource profileを登録し、Flow Editorで選択します。...","英日混在/Flow保留","Flow保留なら後回し。source profileなどは用語表に従う。","decide",""
"P1","Identity Mapping","packages/ar-admin-ui/src/i18n/ja/admin-identity-mapping.ts","128","admin_identity_mapping_resolution_description","...同意blocker、...activation blockerを解決します。","英日混在","blockerをブロッカーに寄せる。","translate",""
"P1","Identity Mapping","packages/ar-admin-ui/src/i18n/ja/admin-identity-mapping.ts","173","admin_identity_mapping_resolution_fallback_missing_impact","profile ownerがtargetを確認するまで、OIDC destinationプレビューはclaimを省略します。","英日混在が強い","プロファイル所有者がターゲットを確認するまで、OIDC宛先プレビューではclaimを省略します。claimは技術用語なら残す。","decide",""
"P1","Identity Mapping","packages/ar-admin-ui/src/i18n/ja/admin-identity-mapping.ts","244","admin_identity_mapping_profile_edit_source_description","CSVファイルまたは手動のカラム定義からsource profileを登録します。","英日混在","ソースプロファイルを登録します、またはsource profileを正式用語として残す。","decide",""
"P1","Identity Mapping","packages/ar-admin-ui/src/i18n/ja/admin-identity-mapping.ts","396","admin_identity_mapping_profile_edit_attribute_registry","Attribute Registry","英語UIのまま","属性レジストリ。","translate",""
"P1","Identity Mapping","packages/ar-admin-ui/src/i18n/ja/admin-identity-mapping.ts","397","admin_identity_mapping_profile_edit_groups_and_fields","Groups and fields","英語UIのまま","グループとフィールド。","translate",""
"P1","Identity Mapping","packages/ar-admin-ui/src/i18n/ja/admin-identity-mapping.ts","398","admin_identity_mapping_profile_edit_attribute_group","Attribute group","英語UIのまま","属性グループ。","translate",""
"P1","Identity Mapping","packages/ar-admin-ui/src/i18n/ja/admin-identity-mapping.ts","409","admin_identity_mapping_profile_edit_attribute_field","Attribute field","英語UIのまま","属性フィールド。","translate",""
"P1","Identity Mapping","packages/ar-admin-ui/src/i18n/ja/admin-identity-mapping.ts","422","admin_identity_mapping_profile_edit_template_attribute_preview_aria","Template attribute preview","英語UIのまま","テンプレート属性プレビュー。template文言をデータ扱いで残すか判断。","decide",""
"P1","Identity Mapping","packages/ar-admin-ui/src/i18n/ja/admin-identity-mapping.ts","478","admin_identity_mapping_flow_view_mode_aria","Flow view mode","Flow保留/英語","Flow保留なら現状維持可。","keep",""
"P1","Identity Mapping","packages/ar-admin-ui/src/i18n/ja/admin-identity-mapping.ts","599","admin_identity_mapping_flow_transform_param_null_handling","Null handling","英語UI寄り","Null処理 または null処理。","translate",""
"P1","Identity Mapping","packages/ar-admin-ui/src/i18n/ja/admin-identity-mapping.ts","611","admin_identity_mapping_flow_nullable","Nullable","英語UI寄り","Nullableを正式用語として残すか、null許可にする。","decide",""
"P1","Identity Mapping","packages/ar-admin-ui/src/i18n/ja/admin-identity-mapping.ts","651","admin_identity_mapping_flow_target","Target","英語UIのまま","ターゲット。","translate",""
"P1","SAML","packages/ar-admin-ui/src/i18n/ja/admin-saml.ts","42","admin_saml_local_page_title","SAML Entity Info - 管理ダッシュボード - Authrim","英語UI寄り","SAMLエンティティ情報 - Authrim Admin。","translate",""
"P1","SAML","packages/ar-admin-ui/src/i18n/ja/admin-saml.ts","43","admin_saml_local_title","SAML Entity Info","英語UI寄り","SAMLエンティティ情報。","translate",""
"P1","SAML","packages/ar-admin-ui/src/i18n/ja/admin-saml.ts","73","admin_saml_local_endpoint_references","Endpoint参照","英日混在","エンドポイント参照。","translate",""
"P1","SAML","packages/ar-admin-ui/src/i18n/ja/admin-saml.ts","87","admin_saml_local_valid_from","Valid From","英語UIのまま","有効開始。","translate",""
"P1","SAML","packages/ar-admin-ui/src/i18n/ja/admin-saml.ts","88","admin_saml_local_valid_to","Valid To","英語UIのまま","有効期限。","translate",""
"P1","SAML","packages/ar-admin-ui/src/i18n/ja/admin-saml.ts","89","admin_saml_local_signature","Signature","英語UIのまま","署名。","translate",""
"P1","SAML","packages/ar-admin-ui/src/i18n/ja/admin-saml.ts","90","admin_saml_local_public_key","Public Key","英語UIのまま","公開鍵。","translate",""
"P1","SAML","packages/ar-admin-ui/src/i18n/ja/admin-saml.ts","100","admin_saml_local_role_url","Role URL","英語UI寄り","ロールURL。role URLを正式用語にするなら残す。","decide",""
"P1","SAML","packages/ar-admin-ui/src/i18n/ja/admin-saml.ts","171","admin_saml_local_signing_rollover","Signing Rollover","英語UIのまま","署名鍵ロールオーバー。","translate",""
"P1","SAML","packages/ar-admin-ui/src/i18n/ja/admin-saml.ts","185","admin_saml_detail_page_title_fallback","SAML Provider","英語UI寄り","SAMLプロバイダー。","translate",""
"P1","SAML","packages/ar-admin-ui/src/i18n/ja/admin-saml.ts","225","admin_saml_detail_attribute_mapping_json","Attribute Mapping JSON","英語UI寄り","属性マッピングJSON。","translate",""
"P1","SAML","packages/ar-admin-ui/src/i18n/ja/admin-saml.ts","231","admin_saml_detail_sp_login_policy","SP Login Policy","英語UI寄り","SPログインポリシー。","translate",""
"P1","SAML","packages/ar-admin-ui/src/i18n/ja/admin-saml.ts","245","admin_saml_detail_authn_context_policy","AuthnContext Policy","英語UI寄り","AuthnContextポリシー。技術語なのでAuthnContextは残す。","translate",""
"P1","SAML","packages/ar-admin-ui/src/i18n/ja/admin-saml.ts","301","admin_saml_new_page_title","新規SAML Provider/Federation - 管理ダッシュボード - Authrim","英日混在","新規SAMLプロバイダー/Federation - Authrim Admin。Federationを残すか判断。","decide",""
"P1","Tenant Discovery","packages/ar-admin-ui/src/i18n/ja/admin-tenant-discovery.ts","2","admin_tenant_discovery_head_title","Tenant Discovery - Authrim Admin","英語UIのまま","テナント検出 - Authrim Admin。","translate",""
"P1","Tenant Discovery","packages/ar-admin-ui/src/i18n/ja/admin-tenant-discovery.ts","3","admin_tenant_discovery_title","Tenant Discovery","英語UIのまま","テナント検出。","translate",""
"P1","Tenant Discovery","packages/ar-admin-ui/src/i18n/ja/admin-tenant-discovery.ts","7","admin_tenant_discovery_description","Tenant resolutionの動作を設定し、discovery screenをカスタマイズします。","英日混在","テナント解決の動作を設定し、検出画面をカスタマイズします。","translate",""
"P1","Tenant Discovery","packages/ar-admin-ui/src/i18n/ja/admin-tenant-discovery.ts","21","admin_tenant_discovery_entry_mode_tenant_only","Tenant-specific entry only","英語UIのまま","テナント専用エントリのみ。","translate",""
"P1","Tenant Discovery","packages/ar-admin-ui/src/i18n/ja/admin-tenant-discovery.ts","57","admin_tenant_discovery_selection_policy","Selection Policy","英語UIのまま","選択ポリシー。","translate",""
"P1","Tenant Discovery","packages/ar-admin-ui/src/i18n/ja/admin-tenant-discovery.ts","111","admin_tenant_discovery_skip_if_one","Tenantが1件だけならdiscoveryをskip","英日混在","テナントが1件だけなら検出をスキップ。","translate",""
"P1","Clients","packages/ar-admin-ui/src/i18n/ja/admin-clients.ts","32","admin_clients_grant_client_credentials","Client Credentials","技術語/英語UI","OAuth grant typeとして残してよい。","keep",""
"P1","Clients","packages/ar-admin-ui/src/i18n/ja/admin-clients.ts","52","admin_client_detail_page_title_fallback","Client","英語UIのまま","クライアント。","translate",""
"P1","Clients","packages/ar-admin-ui/src/i18n/ja/admin-clients.ts","65","admin_client_detail_show_advanced","Advanced Settingsを表示","英日混在","詳細設定を表示。","translate",""
"P1","Clients","packages/ar-admin-ui/src/i18n/ja/admin-clients.ts","67","admin_client_detail_tab_general","General","英語UIのまま","一般。","translate",""
"P1","Clients","packages/ar-admin-ui/src/i18n/ja/admin-clients.ts","68","admin_client_detail_tab_tokens","Tokens","英語UIのまま","トークン。","translate",""
"P1","Clients","packages/ar-admin-ui/src/i18n/ja/admin-clients.ts","69","admin_client_detail_tab_security","Security","英語UIのまま","セキュリティ。","translate",""
"P1","Clients","packages/ar-admin-ui/src/i18n/ja/admin-clients.ts","73","admin_client_detail_tab_metadata","Client Metadata","英語UI寄り","クライアントメタデータ。","translate",""
"P1","Clients","packages/ar-admin-ui/src/i18n/ja/admin-clients.ts","88","admin_client_detail_public_client","Public Client","英語UI寄り","公開クライアント。","translate",""
"P1","Diagnostic Logging","packages/ar-admin-ui/src/i18n/ja/admin-diagnostic-logging.ts","2","admin_diagnostic_logging_page_title","診断ログ - Admin Dashboard - Authrim","英日混在","診断ログ - Authrim Admin。","translate",""
"P1","Diagnostic Logging","packages/ar-admin-ui/src/i18n/ja/admin-diagnostic-logging.ts","8","admin_diagnostic_logging_tab_storage","Storage","英語UIのまま","ストレージ。","translate",""
"P1","Diagnostic Logging","packages/ar-admin-ui/src/i18n/ja/admin-diagnostic-logging.ts","16","admin_diagnostic_logging_storage_destination_updated","Storage destinationを更新しました。","英日混在","ストレージ保存先を更新しました。","translate",""
"P1","Diagnostic Logging","packages/ar-admin-ui/src/i18n/ja/admin-diagnostic-logging.ts","101","admin_diagnostic_logging_storage_mode","Storage Mode","英語UIのまま","ストレージモード。","translate",""
"P2","Keep technical term","overall","","OIDC / SAML / JWT / JSON / URL / URI","各画面で英語のまま","翻訳不要候補","標準プロトコル/フォーマット略語として残す。","keep",""
"P2","Keep technical term","overall","","Client ID / Client Secret / entityID / issuer / scope / claim","各画面で英語のまま","翻訳不要候補","仕様用語・入力値名として残してよい。必要ならラベルだけ補足する。","keep",""
"P2","Keep data value","overall","","template/catalog由来のdisplayName/description","テンプレートやカタログの説明文","翻訳不要候補","契約/カタログデータとして扱い、UI翻訳対象から外す。","keep",""
"P2","Style","overall","","読み込めませんでした / 読み込みに失敗しました","文体が混在","文体統一","エラー文は「〜の読み込みに失敗しました」に統一すると管理UIらしい。","decide",""
"P2","Style","overall","","です/ます と 名詞止め","文体が混在","文体統一","説明文はです/ます、短いラベルは名詞止めに統一。","decide",""
"P2","Style","overall","","... と …","省略記号が混在","表記統一","既存UIに合わせる。日本語UIなら「...」でも可。","decide",""
